fullvisitorid,channelgrouping,time,country,city,totaltransactionrevenue,transactions,timeonsite,pageviews,sessionqualitydim,date,visitid,type,productquantity,productprice,productsku,v2productname,v2productcategory,productvariant,currencycode,transactionrevenue,transactionid,pagetitle,searchkeyword,pagepathlevel1,ecommerceaction_type,ecommerceaction_step,ecommerceaction_option
9.87E+18,Organic Search,13846,Netherlands,not available in demo dataset,NULL,NULL,13846,6,1,2017-07-10,1499690044,PAGE,NULL,5,GGOEGBMJ013399,Sport Bag,Home/Bags/,(not set),USD,NULL,NULL,Bags | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
4.27E+17,Paid Search,77601,United States,not available in demo dataset,NULL,NULL,77601,3,NULL,2017-07-01,1498968242,PAGE,NULL,25,GGOEGDHQ015399,26 oz Double Wall Insulated Bottle,(not set),(not set),USD,NULL,NULL,Store search results,NULL,/asearch.html,0,1,NULL
6.10E+18,Paid Search,116463,United States,New York,NULL,NULL,116463,7,NULL,2017-06-15,1497545180,PAGE,NULL,11,GGOEYHPB072210,YouTube Twill Cap,Home/Apparel/,(not set),USD,NULL,NULL,Apparel | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
8.77E+18,Organic Search,422939,Colombia,Bogota,NULL,NULL,422939,13,NULL,2017-06-02,1496433929,PAGE,NULL,60,GGOEGESB015199,Google Flashlight,Home/Electronics/,(not set),USD,NULL,NULL,Electronics | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
9.46E+18,Organic Search,15552,United States,not available in demo dataset,NULL,NULL,15552,5,1,2017-07-30,1501401433,PAGE,NULL,5,GGOEGBMJ013399,Sport Bag,Home/Bags/,(not set),NULL,NULL,NULL,Bags | Google Merchandise Store,NULL,/google+redesign/,2,1,NULL
7.82E+18,Organic Search,0,France,not available in demo dataset,NULL,NULL,0,4,1,2017-07-16,1500234504,PAGE,NULL,30,GGOEGAAX0352,Android Men's Vintage Henley,Home/Apparel/Men's/Men's-T-Shirts/,(not set),USD,NULL,NULL,Men's T-Shirts | Apparel | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
8.32E+18,Organic Search,0,Canada,not available in demo dataset,NULL,NULL,0,1,NULL,2017-06-14,1497485581,PAGE,NULL,17,GGOEWCKQ085457,Waze Pack of 9 Decal Set,Home/Accessories/Stickers/,(not set),USD,NULL,NULL,Stickers | Accessories | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
9.37E+18,Organic Search,0,Thailand,not available in demo dataset,NULL,NULL,0,5,1,2017-07-05,1499278061,PAGE,NULL,30,GGOEGAAX0351,YouTube Men's Vintage Henley,Home/Apparel/Men's/Men's-T-Shirts/,(not set),USD,NULL,NULL,Men's T-Shirts | Apparel | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
6.97E+18,Organic Search,172727,United States,New York,NULL,NULL,172727,6,NULL,2017-05-07,1494213412,PAGE,NULL,10,GGOEGBJC014399,Google Tote Bag,Home/Bags/,(not set),USD,NULL,NULL,Bags | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
7.92E+18,Referral,22608,United States,Cambridge,NULL,NULL,22608,2,NULL,2017-05-15,1494875650,PAGE,NULL,24,GGOEGAAX0351,YouTube Men's Vintage Henley,Home/Apparel/Men's/Men's-T-Shirts/,(not set),USD,NULL,NULL,Men's T-Shirts | Apparel | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
